"","index_ft","i_ft","norm_i_ft","ratio_dialogue_text","i_do","norm_i_do","i_nd","norm_i_nd","mean_literary_rating","genre_name","genre_id"
"19","Gerritsen_KoudHart 112",0.284644194756554,0.232807851831978,0.495136589403974,0.448948948948949,0.453358687841446,0.0123762376237624,0.0122570158225087,3.86390532544378,"Suspense","Suspense"
"20","Harbach_KunstVanVeldspel 147",0.136200716845878,0.590244795019415,0.202125485387288,0.476793248945148,1.17944861834611,0.00166112956810631,0.00104097169271826,5.87820512820512,"Fiction","Fiction"
"21","Hayder_Huid 40",0.21991341991342,0.230095557384618,0.421975992613112,0.388379204892966,0.460191114769237,0,0,3.72619047619047,"Suspense","Suspense"
"22","Hollander_Naaktportret 76",0.619661016949153,0.599687115419301,0.404050736497545,0.499139414802065,0.617669230266455,0.693333333333333,0.581705000572148,3.71100917431192,"Suspense","Suspense"
"23","Hollander_Vluchtgedrag 79",0.740053050397878,0.577253776891517,0.405017921146953,0.43142144638404,0.532595502394456,0.740053050397878,0.621912051388578,3.89733840304182,"Suspense","Suspense"
"24","Hollander_Zielsverwanten 54",0.263745019920319,0.543343534665538,0.272511358942586,0.5390625,0.989064276241,0.142038946162657,0.0976227930900763,3.90939597315436,"Suspense","Suspense"
"25","Houellebecq_KaartEnGebied",0.240096038415366,0.346617316487976,0.378818327974277,0.519893899204244,0.686204785793188,0.00873362445414847,0.00702984718276331,6.40960451977401,"Fiction","Fiction"
"26","Jackson_ZevendeDoodzonde 137",0.0780437044745057,0.444798278410573,0.194257788637752,0.345622119815668,0.889596556821146,0,0,3.98260869565217,"Suspense","Suspense"
"27","James_KleineDingen 7",0.121707538601272,0.565035027441881,0.193121693121693,0.436482084690554,1.13007005488376,0,0,3.53691275167785,"Romantic","Romantic"
"28","Jonasson_100-jarigeManDie 6",0.0476190476190476,1.86574700926472,0.0586378906647664,0.4375,3.73052300347222,0.00182815356489945,0.000971015057208138,4.81346423562412,"Fiction","Fiction"
"29","King_Gevangen 287",0.314736842105263,0.237101730804918,0.54234179150107,0.51114922813036,0.471242707219394,0.002710027100271,0.00296075439044304,4.125,"Suspense","Suspense"
"30","Kingsbury_NooitTeLaat 74",0.119327731092437,0.538535538535538,0.214024390243902,0.461038961038961,1.07707107707108,0,0,3.46666666666666,"Fiction","Fiction"
"31","Kinsella_WatSpookJij 57",0.519607843137255,0.531387881646591,0.374857261496938,0.458715596330275,0.611853688652664,0.56378132118451,0.450922074640517,2.62946428571428,"Romantic","Romantic"
"32","Koch_ZomerhuisMetZwembad 56",0.557758620689655,0.610657056415908,0.322118316731043,0.513297872340426,0.796753623869534,0.575603557814485,0.424560488962281,5.08507670850767,"Fiction","Fiction"
